Gene.symbol	Gene.ID	adj.P.Val	logFC
LMBRD1	55788	6.04945983397033e-24	-1.64509994924119
CPSF6	11052	6.50714300826944e-24	1.09359225893009
F5	2153	6.75633152634045e-24	-2.87455547523905
SPATS2	65244	7.15276530688674e-24	1.9419498670068
TRAF3IP3	80342	7.21727196558764e-24	-2.60287343191847
RBL2	5934	7.72515714514336e-24	-1.34430757067692
SP100	6672	7.85343823006727e-24	-2.20591398891793
KIF18B	146909	8.0515241815173e-24	1.61586289107975
EML4///ALK	27436///238	8.30523370064643e-24	-1.58458772928697
WEE1	7465	8.50359989799605e-24	1.93641162279081
MIRLET7G	406890	8.75363463697537e-24	-1.89047454610602
DONSON	29980	9.02489797938559e-24	1.2607146424865
		1.02817347984875e-23	-1.69933228493635
LOC100996763///NOTCH2NL///NOTCH2	100996763///388677///4853	1.19745089716569e-23	-1.73906281725711
TNFSF10	8743	1.19801464433659e-23	-3.97948120177865
LOC100996333///ADGRA3	100996333///166647	1.22071850127489e-23	3.31962636577866
EXTL2	2135	1.30266526573285e-23	1.8848510773204
SCARB1	949	1.45924659449464e-23	1.82811859530252
		1.50638074639337e-23	2.10966888053353
SPG11	80208	1.55091428431224e-23	-0.891126019630252
		1.61959913746448e-23	-1.896628621
LINC00921	283876	1.75381669050554e-23	-1.91818057949008
MIR29A	407021	1.76626157595272e-23	-1.44008015528661
